﻿"№ ГОЛОСА";"ИЗБИР. ОКРУГ";"АДРЕС ГОЛОСА В БЛОКЧЕЙНЕ";"БЛОК ГОЛОСА";"ВРЕМЯ ЗАПИСИ БЛОКА ГОЛОСА";"ЗАШИФРОВАННЫЙ ГОЛОС"
"77";77;"0x109983e7436bc8dbee75d0ceb5c3af58600717e838e1f0337e98217bd1117acd";"#15909";"07:04:57";"{""message"":""2e790a1c157808f005e790b51ce8d53bb458c334"",""nonce"":""35dd8fa512e673fd8a78e2ae29c6dcfdb4b58ed88dc7fe5a"",""public_key"":""48313beb6d6924bc60f01f726d2de96e3438403b865e237f3ee90220ac6bc277""}"
"78";77;"0x5521ad47c2f95feca7e4e143ae656d032f50f441b1eed289dde8d276d94bf8d0";"#15909";"07:04:57";"{""message"":""5821eaa3e075cd7f4121aae73e43c096a968cce9"",""nonce"":""aab06f8c16d0e5d82a69ba6e74588dbb38bc50bd5bd4f7e8"",""public_key"":""93cfc6c69bb7a71a53dd50f6bacfc10f30454d8d85e18fd6b0f887833fe23649""}"
"79";77;"0x0c83c77697107274ae8271452937dcfc8c92c7a85fb80b0846a829d29078dc03";"#15909";"07:04:57";"{""message"":""ddc6832fd85d09199a35b6fed17afd521ba6f671"",""nonce"":""636dd190538dc676831a55739ba303b87857698c62bb11f4"",""public_key"":""8676748c3f8fb3378871998b3203ce508b6048b5fbb667683dcf639b523d0645""}"
"80";77;"0xd3be5ad80f47b7dc1a3814006441fd187d89b4e43e622a97623c546d143de3b2";"#15909";"07:04:57";"{""message"":""7ea9f97b4f7e44e6be324d65c633f4019dd5cec0"",""nonce"":""07fc1eb836e91e1a624ff92ab23ee4695281b34427438d82"",""public_key"":""65774ac3a585bae6451b53f5f18febe7b753d41da46f15205b079e4a8833cb2a""}"
"81";77;"0xf754bd6a149a8e5f165769c61bcf700357115e79505257fc07671f12c24097d2";"#15909";"07:04:57";"{""message"":""ec2825e7509480dbd19c7123c7b4164dfd0e3bc7"",""nonce"":""37b11de7d240bae07e80b5636fe454c626b27b6e7d5ff9ed"",""public_key"":""5a4d66f13c3191f1abebc6e9edccd8eaf32a28dff103ac7eb299982d4cf5a155""}"
"82";77;"0x6289657a306f90abedc390403f104c64cbe72111a5d03a58a7befcad0529b968";"#15909";"07:04:57";"{""message"":""0f6814aa0c2178a240a85292e777460b66112c9d"",""nonce"":""87e7110a60b68b59eac5b95aa3e8f0d33c63dad2132811c1"",""public_key"":""039138c7fb442757e4b7dedaa416814a32acf1875ba8f54d114922a74fac0c55""}"
"83";77;"0x7af52774a66010c9922490bc6f5e73da40828ce4290aa16832b550d51a499a6d";"#15909";"07:04:57";"{""message"":""01b2b2d9177e5e1af6df53d141f46e8417f2db68"",""nonce"":""20ba2e61636fe4f5ebcb1117a5cda2986f9d94cadabe3f8d"",""public_key"":""1ffe4f9ee50186f3688b72161c11c9f16985b44fdda6bdc08c2f9acab1bc492e""}"
"69";77;"0xc30834d90483c9d70d783fefe3c844420aa7ff5884f4c3840ff170367baa419f";"#15909";"07:04:57";"{""message"":""c5cc8c89b530d934f1014ba96935f6b2f2769f00"",""nonce"":""c1eb91889db72f30e6ca6ac2602af299dfc187622aa7013f"",""public_key"":""4ad192fe95b3f836d73883a6e2d01536115a1ea4d84fedd794ae2e51afdb5d7c""}"
"68";77;"0x9e3b5315358b3af93a4fc757dfe4b4ff87bf1f435c4e157cda194704d871efa7";"#15909";"07:04:57";"{""message"":""c52f0f12bc86e46170e4b64e9908372ce1f4fbe6"",""nonce"":""d87c946b28a5c1746ccc1862b7cb1e310ded10f2e978e7cf"",""public_key"":""e694d0cf6ee660107dbd68afb2ab658f5bd1e6e65432f01b222b6e156eaa9e1e""}"
"84";77;"0x48e668c49e6b1f94a6d69c62e9ccc0320b719db5c06d299c00329e5a68f009c5";"#16501";"07:06:59";"{""message"":""02c20fb33dfb32b410d48cb13e62446b63a34dbd"",""nonce"":""6c3a31b75ac6700e8ff411067c17fc00fc0d08ad38ee0a33"",""public_key"":""e13712ea9399275961b1a8d23293922ecabfebe3106486ba737734e66efa0304""}"
"85";52;"0x872fe7e36f4918cfa0e7a9978979cf59ee42092cf9d69516cdc23cfa2e129201";"#16501";"07:06:59";"{""message"":""246487bc584ab876f2b4c8b28656ee4b096a2f16"",""nonce"":""9df5f181a37e53335bf737ff49ed75aa8ffa18f4fcbbc8e9"",""public_key"":""7ef966a7cdf3eb00ef11bde770e1686461aca9c2b3042125e8e4a068599ccb28""}"
